# time = 200
# FINE UNIFORM Grid points = 361
# Pressure (Pa) = 101325
#         1_posUnif              2_Rkk           3_thetaZ           4_thetaY           5_thetaX            6_xmap1            7_xmap2
  -8.0000000000e-01   3.5246984648e+00   2.9317839244e-02  -2.9305247642e-02   7.8496851859e-01   3.8134286274e-01   0.0000000000e+00
  -7.9444444444e-01   3.5135813899e+00   2.8805737210e-02  -2.8793793705e-02   7.8498339284e-01   3.7568097467e-01  -3.8459253728e-16
  -7.8888888889e-01   3.5184456202e+00   2.6353804486e-02  -2.6344657692e-02   7.8505098234e-01   3.7401610382e-01   0.0000000000e+00
  -7.8333333333e-01   3.5383975601e+00   2.1307598560e-02  -2.1302763291e-02   7.8517119090e-01   3.7691613483e-01   1.9229626864e-16
  -7.7777777778e-01   3.5591750372e+00   1.4023746816e-02  -1.4022368045e-02   7.8529983710e-01   3.8202610463e-01  -1.9229626864e-16
  -7.7222222222e-01   3.5603423109e+00   5.7717114558e-03  -5.7716153273e-03   7.8538150723e-01   3.8637845974e-01   0.0000000000e+00
  -7.6666666667e-01   3.5367568298e+00  -2.8820125185e-03   2.8820005513e-03   7.8539401041e-01   3.8956667334e-01  -3.8459253728e-16
  -7.6111111111e-01   3.4971058027e+00  -1.2368056246e-02   1.2367110408e-02   7.8532168299e-01   3.9341347689e-01   0.0000000000e+00
  -7.5555555556e-01   3.4539553230e+00  -2.3293806300e-02   2.3287489319e-02   7.8512691183e-01   3.9936435504e-01   0.0000000000e+00
  -7.5000000000e-01   3.4043640374e+00  -3.5128967951e-02   3.5107312891e-02   7.8478139480e-01   4.0583621812e-01   0.0000000000e+00
  -7.4444444444e-01   3.3487727805e+00  -4.5796174580e-02   4.5748226639e-02   7.8435025071e-01   4.1173149428e-01   0.0000000000e+00
  -7.3888888889e-01   3.2915264059e+00  -5.3566612006e-02   5.3489926386e-02   7.8396484218e-01   4.1651597212e-01   0.0000000000e+00
  -7.3333333333e-01   3.2355879263e+00  -5.8654637762e-02   5.8554001847e-02   7.8367994857e-01   4.1948574412e-01   1.9229626864e-16
  -7.2777777778e-01   3.1733458581e+00  -6.2520789441e-02   6.2398955803e-02   7.8344627908e-01   4.1927757433e-01  -1.9229626864e-16
  -7.2222222222e-01   3.0987987930e+00  -6.5097384957e-02   6.4959892840e-02   7.8328231365e-01   4.1534447327e-01   0.0000000000e+00
  -7.1666666667e-01   3.0133681733e+00  -6.5254852765e-02   6.5116362587e-02   7.8327207943e-01   4.0836163852e-01   1.9229626864e-16
  -7.1111111111e-01   2.9267360337e+00  -6.1772735942e-02   6.1655215184e-02   7.8349264890e-01   4.0013973773e-01   1.9229626864e-16
  -7.0555555556e-01   2.8448424787e+00  -5.4116994836e-02   5.4037924571e-02   7.8393526573e-01   3.9261646355e-01   0.0000000000e+00
  -7.0000000000e-01   2.7684104875e+00  -4.3181291133e-02   4.3141089386e-02   7.8446643023e-01   3.8720952724e-01   0.0000000000e+00
  -6.9444444444e-01   2.6982402867e+00  -3.1078922295e-02   3.1063923776e-02   7.8491536912e-01   3.8510057210e-01   0.0000000000e+00
  -6.8888888889e-01   2.6376334614e+00  -1.9583858263e-02   1.9580103914e-02   7.8520642423e-01   3.8773119051e-01   0.0000000000e+00
  -6.8333333333e-01   2.5882290097e+00  -1.0272061977e-02   1.0271520099e-02   7.8534540771e-01   3.9494705485e-01   1.9229626864e-16
  -6.7777777778e-01   2.5482826445e+00  -4.2608726871e-03   4.2608340062e-03   7.8538908603e-01   4.0458555015e-01  -5.7688880592e-16
  -6.7222222222e-01   2.5194513916e+00  -4.1261984728e-05   4.1262109776e-05   7.8539816260e-01   4.1412601740e-01  -3.8459253728e-16
  -6.6666666667e-01   2.5046144824e+00   3.4653559038e-03  -3.4653350956e-03   7.8539215911e-01   4.2134193706e-01   0.0000000000e+00
  -6.6111111111e-01   2.5021678699e+00   5.0132926406e-03  -5.0132296499e-03   7.8538559698e-01   4.2559575826e-01   0.0000000000e+00
  -6.5555555556e-01   2.5106197565e+00   4.0281991833e-03  -4.0281665062e-03   7.8539005022e-01   4.2674734527e-01   1.9229626864e-16
  -6.5000000000e-01   2.5321776789e+00   2.1779805171e-03  -2.1779753556e-03   7.8539579161e-01   4.2540499515e-01  -3.8459253728e-16
  -6.4444444444e-01   2.5670826421e+00   3.8341203109e-04  -3.8341317504e-04   7.8539808990e-01   4.2311577774e-01   0.0000000000e+00
  -6.3888888889e-01   2.6100716570e+00  -2.0022625559e-03   2.0022585494e-03   7.8539615891e-01   4.2097323939e-01  -3.8459253728e-16
  -6.3333333333e-01   2.6443033187e+00  -7.3956727459e-03   7.3954705021e-03   7.8537081591e-01   4.1689837290e-01   1.9229626864e-16
  -6.2777777778e-01   2.6638460719e+00  -1.7427379847e-02   1.7424734017e-02   7.8524632198e-01   4.1135675630e-01  -5.7688880592e-16
  -6.2222222222e-01   2.6775376436e+00  -2.9604453094e-02   2.9591488746e-02   7.8496007956e-01   4.0772693555e-01   1.9229626864e-16
