# time = 200
# FINE UNIFORM Grid points = 361
# Pressure (Pa) = 101325
#         1_posUnif        2_uvel_mean        3_uvel_rmsf   4_uvel_rhsfRatio        5_vvel_mean        6_vvel_rmsf   7_vvel_rhsfRatio        8_wvel_mean        9_wvel_rmsf  10_wvel_rhsfRatio             11_Rxx             12_Ryy             13_Rzz             14_Rxy             15_Rxz             16_Ryz
  -9.4444444444e-01   8.0028844816e+00   1.6452272366e+00   0.0000000000e+00  -6.9994418528e-02   7.0981315018e-01   0.0000000000e+00  -6.9994418528e-02   7.0981315018e-01   0.0000000000e+00   2.7067726602e+00   5.0383470816e-01   5.0383470816e-01  -7.4345016677e-02  -7.4345016677e-02   5.0383470816e-01
  -9.3888888889e-01   8.5607220733e+00   1.6297227029e+00   0.0000000000e+00  -7.0980227860e-02   7.3973608585e-01   0.0000000000e+00  -7.0980227860e-02   7.3973608585e-01   0.0000000000e+00   2.6559960884e+00   5.4720947671e-01   5.4720947671e-01  -6.5241648958e-02  -6.5241648958e-02   5.4720947671e-01
  -9.3333333333e-01   9.0667244629e+00   1.6000563209e+00   0.0000000000e+00  -7.1001925418e-02   7.6005093996e-01   0.0000000000e+00  -7.1001925418e-02   7.6005093996e-01   0.0000000000e+00   2.5601802302e+00   5.7767743134e-01   5.7767743134e-01  -5.3462829849e-02  -5.3462829849e-02   5.7767743134e-01
  -9.2777777778e-01   9.5200632648e+00   1.5627188504e+00   0.0000000000e+00  -7.0018178266e-02   7.7233669242e-01   0.0000000000e+00  -7.0018178266e-02   7.7233669242e-01   0.0000000000e+00   2.4420902055e+00   5.9650396646e-01   5.9650396646e-01  -3.9705296195e-02  -3.9705296195e-02   5.9650396646e-01
  -9.2222222222e-01   9.9230585633e+00   1.5238431399e+00   0.0000000000e+00  -6.7991159768e-02   7.7787686268e-01   0.0000000000e+00  -6.7991159768e-02   7.7787686268e-01   0.0000000000e+00   2.3220979151e+00   6.0509241349e-01   6.0509241349e-01  -2.3679041041e-02  -2.3679041041e-02   6.0509241349e-01
  -9.1666666667e-01   1.0279561344e+01   1.4896752274e+00   0.0000000000e+00  -6.5014704708e-02   7.7822563386e-01   0.0000000000e+00  -6.5014704708e-02   7.7822563386e-01   0.0000000000e+00   2.2191322832e+00   6.0563513719e-01   6.0563513719e-01  -7.2827839466e-03  -7.2827839466e-03   6.0563513719e-01
  -9.1111111111e-01   1.0594557948e+01   1.4662243125e+00   0.0000000000e+00  -6.1093317745e-02   7.7509709259e-01   0.0000000000e+00  -6.1093317745e-02   7.7509709259e-01   0.0000000000e+00   2.1498137345e+00   6.0077550294e-01   6.0077550294e-01   5.9117338519e-03   5.9117338519e-03   6.0077550294e-01
  -9.0555555556e-01   1.0873304509e+01   1.4563936979e+00   0.0000000000e+00  -5.6616205189e-02   7.6968188826e-01   0.0000000000e+00  -5.6616205189e-02   7.6968188826e-01   0.0000000000e+00   2.1210826034e+00   5.9241020912e-01   5.9241020912e-01   1.1899785983e-02   1.1899785983e-02   5.9241020912e-01
  -9.0000000000e-01   1.1120741166e+01   1.4576903665e+00   0.0000000000e+00  -5.2167029687e-02   7.6256291968e-01   0.0000000000e+00  -5.2167029687e-02   7.6256291968e-01   0.0000000000e+00   2.1248612046e+00   5.8150220647e-01   5.8150220647e-01   1.0251547182e-02   1.0251547182e-02   5.8150220647e-01
  -8.9444444444e-01   1.1341387510e+01   1.4650658712e+00   0.0000000000e+00  -4.8409940693e-02   7.5416183679e-01   0.0000000000e+00  -4.8409940693e-02   7.5416183679e-01   0.0000000000e+00   2.1464180068e+00   5.6876007606e-01   5.6876007606e-01   4.8418710789e-03   4.8418710789e-03   5.6876007606e-01
