# time = 200
# FINE UNIFORM Grid points = 361
# Pressure (Pa) = 101325
#         1_posUnif        2_uvel_mean        3_uvel_rmsf   4_uvel_rhsfRatio        5_vvel_mean        6_vvel_rmsf   7_vvel_rhsfRatio        8_wvel_mean        9_wvel_rmsf  10_wvel_rhsfRatio             11_Rxx             12_Ryy             13_Rzz             14_Rxy             15_Rxz             16_Ryz
  -8.6666666667e-01   1.2195727728e+01   2.2255279229e+00   0.0000000000e+00  -6.0954155607e-02   8.1671556191e-01   0.0000000000e+00  -6.0954155607e-02   8.1671556191e-01   0.0000000000e+00   4.9529745358e+00   6.6702430906e-01   6.6702430906e-01  -1.0527741325e-01  -1.0527741325e-01   6.6702430906e-01
  -8.6111111111e-01   1.2330853718e+01   2.2211231032e+00   0.0000000000e+00  -6.2241052952e-02   8.1288357760e-01   0.0000000000e+00  -6.2241052952e-02   8.1288357760e-01   0.0000000000e+00   4.9333878398e+00   6.6077971073e-01   6.6077971073e-01  -9.3737659939e-02  -9.3737659939e-02   6.6077971073e-01
  -8.5555555556e-01   1.2460748111e+01   2.2151566793e+00   0.0000000000e+00  -6.2485194013e-02   8.0853628831e-01   0.0000000000e+00  -6.2485194013e-02   8.0853628831e-01   0.0000000000e+00   4.9069191138e+00   6.5373092951e-01   6.5373092951e-01  -8.3456939681e-02  -8.3456939681e-02   6.5373092951e-01
  -8.5000000000e-01   1.2586483015e+01   2.2076602618e+00   0.0000000000e+00  -6.1924599574e-02   8.0346091320e-01   0.0000000000e+00  -6.1924599574e-02   8.0346091320e-01   0.0000000000e+00   4.8737638315e+00   6.4554943904e-01   6.4554943904e-01  -7.7364595398e-02  -7.7364595398e-02   6.4554943904e-01
  -8.4444444444e-01   1.2708304762e+01   2.1987988314e+00   0.0000000000e+00  -6.0799423603e-02   7.9789836517e-01   0.0000000000e+00  -6.0799423603e-02   7.9789836517e-01   0.0000000000e+00   4.8347163010e+00   6.3664180114e-01   6.3664180114e-01  -7.6361805193e-02  -7.6361805193e-02   6.3664180114e-01
  -8.3888888889e-01   1.2826486020e+01   2.1897334359e+00   0.0000000000e+00  -5.9326410407e-02   7.9217582965e-01   0.0000000000e+00  -5.9326410407e-02   7.9217582965e-01   0.0000000000e+00   4.7949325201e+00   6.2754254508e-01   6.2754254508e-01  -7.9099167230e-02  -7.9099167230e-02   6.2754254508e-01
  -8.3333333333e-01   1.2941328526e+01   2.1802191528e+00   0.0000000000e+00  -5.7529841933e-02   7.8613382338e-01   0.0000000000e+00  -5.7529841933e-02   7.8613382338e-01   0.0000000000e+00   4.7533555542e+00   6.1800638826e-01   6.1800638826e-01  -8.2493046837e-02  -8.2493046837e-02   6.1800638826e-01
  -8.2777777778e-01   1.3052889909e+01   2.1695428010e+00   0.0000000000e+00  -5.5316100510e-02   7.7940217701e-01   0.0000000000e+00  -5.5316100510e-02   7.7940217701e-01   0.0000000000e+00   4.7069159654e+00   6.0746775353e-01   6.0746775353e-01  -8.2291062850e-02  -8.2291062850e-02   6.0746775353e-01
  -8.2222222222e-01   1.3161216307e+01   2.1573992054e+00   0.0000000000e+00  -5.2798715970e-02   7.7189983214e-01   0.0000000000e+00  -5.2798715970e-02   7.7189983214e-01   0.0000000000e+00   4.6543713314e+00   5.9582935086e-01   5.9582935086e-01  -7.4031152619e-02  -7.4031152619e-02   5.9582935086e-01
  -8.1666666667e-01   1.3266106474e+01   2.1441205244e+00   0.0000000000e+00  -5.0096902581e-02   7.6406020013e-01   0.0000000000e+00  -5.0096902581e-02   7.6406020013e-01   0.0000000000e+00   4.5972528234e+00   5.8378798943e-01   5.8378798943e-01  -5.7814548629e-02  -5.7814548629e-02   5.8378798943e-01
