# time = 100
# Grid points = 195
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -8.8186213993e-01  -8.8658808708e-01   1.3479781527e+01   3.2061659791e-01   3.2061659791e-01
  -8.7241024563e-01  -8.7713619278e-01   1.3815877038e+01   4.5545188225e-01   4.5545188225e-01
  -8.6260853118e-01  -8.6768429848e-01   1.4076288764e+01   5.5246657813e-01   5.5246657813e-01
  -8.5245699658e-01  -8.5753276388e-01   1.4263654561e+01   5.9133035472e-01   5.9133035472e-01
  -8.4230546198e-01  -8.4738122928e-01   1.4393421980e+01   5.6452390071e-01   5.6452390071e-01
  -8.3215392738e-01  -8.3722969468e-01   1.4465121342e+01   4.7564773849e-01   4.7564773849e-01
  -8.2223032172e-01  -8.2707816008e-01   1.4470110757e+01   3.4864472648e-01   3.4864472648e-01
  -8.1253464499e-01  -8.1738248335e-01   1.4414172317e+01   1.9645180711e-01   1.9645180711e-01
  -8.0283896827e-01  -8.0768680663e-01   1.4291320001e+01   2.9996441246e-02   2.9996441246e-02
  -7.9314329155e-01  -7.9799112991e-01   1.4089448296e+01  -1.4222262197e-01  -1.4222262197e-01
  -7.8351765859e-01  -7.8829545319e-01   1.3793026123e+01  -3.1725289999e-01  -3.1725289999e-01
  -7.7396206939e-01  -7.7873986399e-01   1.3447848138e+01  -4.6996054927e-01  -4.6996054927e-01
  -7.6436702650e-01  -7.6918427480e-01   1.3077085306e+01  -5.9924023910e-01  -5.9924023910e-01
  -7.5473252990e-01  -7.5954977820e-01   1.2713820690e+01  -7.0729925097e-01  -7.0729925097e-01
  -7.4529629915e-01  -7.4991528160e-01   1.2387002003e+01  -8.0121338648e-01  -8.0121338648e-01
  -7.3605833423e-01  -7.4067731669e-01   1.2260260332e+01  -8.5299842278e-01  -8.5299842278e-01
  -7.2682036932e-01  -7.3143935177e-01   1.2133271754e+01  -9.1301482475e-01  -9.1301482475e-01
  -7.1758240440e-01  -7.2220138686e-01   1.2241742097e+01  -9.4617024882e-01  -9.4617024882e-01
  -7.0821805779e-01  -7.1296342194e-01   1.2462847905e+01  -9.6369884086e-01  -9.6369884086e-01
  -6.9872732950e-01  -7.0347269365e-01   1.2805258826e+01  -9.6179016571e-01  -9.6179016571e-01
  -6.8754637796e-01  -6.9398196535e-01   1.3321377848e+01  -9.3888834748e-01  -9.3888834748e-01
  -6.7522233403e-01  -6.8111079056e-01   1.4084101921e+01  -8.8553036894e-01  -8.8553036894e-01
  -6.6317974691e-01  -6.6933387749e-01   1.4775590633e+01  -8.3363098029e-01  -8.3363098029e-01
  -6.5078570456e-01  -6.5702561633e-01   1.5448457769e+01  -8.0126517158e-01  -8.0126517158e-01
  -6.3838269333e-01  -6.4454579279e-01   1.6155995090e+01  -8.1062810140e-01  -8.1062810140e-01
  -6.2561590517e-01  -6.3221959387e-01   1.6890809681e+01  -8.7499281899e-01  -8.7499281899e-01
  -6.1131641796e-01  -6.1901221648e-01   1.7534498428e+01  -9.7153397313e-01  -9.7153397313e-01
  -5.9795116846e-01  -6.0362061944e-01   1.8087085820e+01  -1.0774313355e+00  -1.0774313355e+00
  -5.8661226649e-01  -5.9228171747e-01   1.8435295948e+01  -1.1311988685e+00  -1.1311988685e+00
  -5.7646693041e-01  -5.8094281550e-01   1.8586251356e+01  -1.1112805267e+00  -1.1112805267e+00
  -5.6751516021e-01  -5.7199104531e-01   1.8575821497e+01  -1.0240893419e+00  -1.0240893419e+00
  -5.5856339002e-01  -5.6303927512e-01   1.8446141630e+01  -8.7798590301e-01  -8.7798590301e-01
  -5.4961161982e-01  -5.5408750492e-01   1.8211095272e+01  -6.8484754152e-01  -6.8484754152e-01
  -5.3972578779e-01  -5.4513573473e-01   1.7916280531e+01  -4.7608767386e-01  -4.7608767386e-01
  -5.2890589393e-01  -5.3431584086e-01   1.7538797422e+01  -2.3108356427e-01  -2.3108356427e-01
  -5.1878397584e-01  -5.2349594699e-01   1.7290288139e+01  -7.0098794168e-02  -7.0098794168e-02
  -5.0936003354e-01  -5.1407200469e-01   1.7103299572e+01   5.6766880144e-02   5.6766880144e-02
  -4.9993609123e-01  -5.0464806239e-01   1.6997252626e+01   1.8028524193e-01   1.8028524193e-01
  -4.9051214893e-01  -4.9522412008e-01   1.7051256664e+01   2.3494572108e-01   2.3494572108e-01
  -4.8002746249e-01  -4.8580017778e-01   1.7252469578e+01   2.4593167071e-01   2.4593167071e-01
  -4.6848203191e-01  -4.7425474720e-01   1.7572565484e+01   2.1590827533e-01   2.1590827533e-01
  -4.5777354735e-01  -4.6270931662e-01   1.7963752805e+01   1.5664911314e-01   1.5664911314e-01
  -4.4790200881e-01  -4.5283777808e-01   1.8359543880e+01   9.1302370340e-02   9.1302370340e-02
  -4.3765526689e-01  -4.4296623954e-01   1.8623160956e+01   6.0325502597e-02   6.0325502597e-02
  -4.2703332158e-01  -4.3234429424e-01   1.8804963835e+01   6.6474606438e-02   6.6474606438e-02
  -4.1641137628e-01  -4.2172234893e-01   1.8868634727e+01   1.1242763349e-01   1.1242763349e-01
  -4.0578943097e-01  -4.1110040362e-01   1.8839299747e+01   1.9087717518e-01   1.9087717518e-01
  -3.9416963083e-01  -4.0047845832e-01   1.8721520441e+01   2.9852291993e-01   2.9852291993e-01
  -3.8155197585e-01  -3.8786080334e-01   1.8615107259e+01   3.6275014464e-01   3.6275014464e-01
  -3.6893432086e-01  -3.7524314836e-01   1.8627615891e+01   3.1814576782e-01   3.1814576782e-01
