# time = 1000
# FINE UNIFORM Grid points = 361
# Pressure (Pa) = 101325
#         1_posUnif              2_Rkk           3_thetaZ           4_thetaY           5_thetaX            6_xmap1            7_xmap2
  -7.2777777778e-01   5.6646622553e+00   1.0313220975e-02  -1.0312672560e-02   7.8534498404e-01   6.5619147395e-01  -1.9229626864e-16
  -7.2222222222e-01   5.6437832001e+00   9.7627246048e-03  -9.7622593997e-03   7.8535050958e-01   6.5800379564e-01  -1.9229626864e-16
  -7.1666666667e-01   5.6184923817e+00   8.9400644232e-03  -8.9397071886e-03   7.8535820219e-01   6.5976642911e-01   0.0000000000e+00
  -7.1111111111e-01   5.5917755092e+00   8.0126016583e-03  -8.0123444601e-03   7.8536606324e-01   6.6163834852e-01   1.9229626864e-16
  -7.0555555556e-01   5.5645907116e+00   7.0633354074e-03  -7.0631592239e-03   7.8537321844e-01   6.6349598207e-01   0.0000000000e+00
  -7.0000000000e-01   5.5414438043e+00   6.0788558677e-03  -6.0787435594e-03   7.8537968739e-01   6.6544573288e-01   0.0000000000e+00
  -6.9444444444e-01   5.5263692805e+00   5.1530663622e-03  -5.1529979459e-03   7.8538488644e-01   6.6767499128e-01   1.9229626864e-16
  -6.8888888889e-01   5.5173475341e+00   4.3522963667e-03  -4.3522551432e-03   7.8538869231e-01   6.7002764666e-01   0.0000000000e+00
  -6.8333333333e-01   5.5120616422e+00   3.5651854866e-03  -3.5651628430e-03   7.8539180815e-01   6.7239627537e-01   0.0000000000e+00
  -6.7777777778e-01   5.5106667494e+00   2.6134009393e-03  -2.6133920300e-03   7.8539474851e-01   6.7467412362e-01   0.0000000000e+00
  -6.7222222222e-01   5.5124620041e+00   1.5453372909e-03  -1.5453354782e-03   7.8539696939e-01   6.7658924745e-01   0.0000000000e+00
  -6.6666666667e-01   5.5143826947e+00   5.1442625746e-04  -5.1442628740e-04   7.8539803106e-01   6.7790365059e-01  -3.8459253728e-16
  -6.6111111111e-01   5.5169117269e+00  -3.7105560794e-04   3.7105671614e-04   7.8539809453e-01   6.7863036711e-01   0.0000000000e+00
  -6.5555555556e-01   5.5218525133e+00  -1.0658411918e-03   1.0658406267e-03   7.8539759540e-01   6.7897180327e-01   0.0000000000e+00
  -6.5000000000e-01   5.5286793313e+00  -1.6771564257e-03   1.6771540673e-03   7.8539675701e-01   6.7913056957e-01   0.0000000000e+00
  -6.4444444444e-01   5.5357877565e+00  -2.3449462391e-03   2.3449398095e-03   7.8539541401e-01   6.7927287396e-01  -7.6918507455e-16
  -6.3888888889e-01   5.5439123962e+00  -3.0561774814e-03   3.0561632203e-03   7.8539349338e-01   6.7951052816e-01   1.9229626864e-16
  -6.3333333333e-01   5.5534847755e+00  -3.7361097127e-03   3.7360836495e-03   7.8539118419e-01   6.7994723161e-01   0.0000000000e+00
  -6.2777777778e-01   5.5634076777e+00  -4.3116589509e-03   4.3116188756e-03   7.8538886836e-01   6.8069345517e-01   0.0000000000e+00
  -6.2222222222e-01   5.5717495546e+00  -4.7456053950e-03   4.7455519663e-03   7.8538690319e-01   6.8170192536e-01   1.9229626864e-16
  -6.1666666667e-01   5.5778581386e+00  -4.9611766305e-03   4.9611155794e-03   7.8538585685e-01   6.8287226851e-01   0.0000000000e+00
  -6.1111111111e-01   5.5819631949e+00  -4.9340693418e-03   4.9340092886e-03   7.8538599101e-01   6.8417611536e-01   0.0000000000e+00
  -6.0555555556e-01   5.5825383497e+00  -4.7685238313e-03   4.7684696256e-03   7.8538679410e-01   6.8562108433e-01   0.0000000000e+00
  -6.0000000000e-01   5.5775152798e+00  -4.4340350815e-03   4.4339915041e-03   7.8538833319e-01   6.8728742894e-01  -1.9229626864e-16
  -5.9444444444e-01   5.5649760129e+00  -3.8636077794e-03   3.8635789436e-03   7.8539069978e-01   6.8923860100e-01   0.0000000000e+00
  -5.8888888889e-01   5.5442635628e+00  -3.1062854574e-03   3.1062704830e-03   7.8539333896e-01   6.9140398037e-01  -1.9229626864e-16
  -5.8333333333e-01   5.5181492935e+00  -2.2136481725e-03   2.2136427657e-03   7.8539571335e-01   6.9371186998e-01  -3.8459253728e-16
  -5.7777777778e-01   5.4884121902e+00  -1.3558192974e-03   1.3558180464e-03   7.8539724425e-01   6.9586579664e-01  -5.7688880592e-16
  -5.7222222222e-01   5.4579171914e+00  -7.0125205184e-04   7.0125189599e-04   7.8539791759e-01   6.9768631009e-01   0.0000000000e+00
  -5.6666666667e-01   5.4282627107e+00  -2.8194618190e-04   2.8194702928e-04   7.8539812363e-01   6.9923116824e-01   0.0000000000e+00
  -5.6111111111e-01   5.3999541317e+00   4.8683249125e-05  -4.8683396653e-05   7.8539816220e-01   7.0055312422e-01   0.0000000000e+00
