# time = 1000
# Grid points = 536
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -9.1355357720e-01  -9.1623929239e-01   1.1971617525e+01   7.5612044074e-01   7.5612044074e-01
  -9.0936329342e-01  -9.1086786200e-01   1.2176672041e+01   8.1607637930e-01   8.1607637930e-01
  -9.0635415624e-01  -9.0785872483e-01   1.2304547695e+01   8.5027162959e-01   8.5027162959e-01
  -9.0334501906e-01  -9.0484958765e-01   1.2416110996e+01   8.7535887736e-01   8.7535887736e-01
  -9.0033588188e-01  -9.0184045047e-01   1.2506396396e+01   8.8924810637e-01   8.8924810637e-01
  -8.9732674471e-01  -8.9883131330e-01   1.2570246469e+01   8.9116717700e-01   8.9116717700e-01
  -8.9431760753e-01  -8.9582217612e-01   1.2613863427e+01   8.8210475936e-01   8.8210475936e-01
  -8.9130847035e-01  -8.9281303894e-01   1.2637536883e+01   8.6173421887e-01   8.6173421887e-01
  -8.8829933318e-01  -8.8980390176e-01   1.2638873915e+01   8.2827419192e-01   8.2827419192e-01
  -8.8420938849e-01  -8.8679476459e-01   1.2608311946e+01   7.6358589882e-01   7.6358589882e-01
  -8.7903863631e-01  -8.8162401240e-01   1.2519329769e+01   6.6011312476e-01   6.6011312476e-01
  -8.7386788412e-01  -8.7645326021e-01   1.2368456667e+01   5.1919887185e-01   5.1919887185e-01
  -8.6869713193e-01  -8.7128250803e-01   1.2182367215e+01   3.6411318583e-01   3.6411318583e-01
  -8.6470892632e-01  -8.6611175584e-01   1.1990927643e+01   2.1600776900e-01   2.1600776900e-01
  -8.6190326729e-01  -8.6330609680e-01   1.1840610610e+01   1.0400695485e-01   1.0400695485e-01
  -8.5909760825e-01  -8.6050043777e-01   1.1679915689e+01  -1.1989045134e-02  -1.1989045134e-02
  -8.5629194922e-01  -8.5769477873e-01   1.1521918835e+01  -1.2329633221e-01  -1.2329633221e-01
  -8.5344965191e-01  -8.5488911970e-01   1.1381335280e+01  -2.2004336890e-01  -2.2004336890e-01
  -8.5057071634e-01  -8.5201018413e-01   1.1231217805e+01  -3.2114246798e-01  -3.2114246798e-01
  -8.4769178077e-01  -8.4913124855e-01   1.1095863670e+01  -4.1097907622e-01  -4.1097907622e-01
  -8.4481284520e-01  -8.4625231298e-01   1.0941296413e+01  -5.1247160859e-01  -5.1247160859e-01
  -8.4158495231e-01  -8.4337337741e-01   1.0763475483e+01  -6.2916715152e-01  -6.2916715152e-01
  -8.3800810211e-01  -8.3979652721e-01   1.0583713816e+01  -7.4888009541e-01  -7.4888009541e-01
  -8.3443125191e-01  -8.3621967701e-01   1.0432993448e+01  -8.5348742948e-01  -8.5348742948e-01
  -8.3085440171e-01  -8.3264282681e-01   1.0318164383e+01  -9.4077034304e-01  -9.4077034304e-01
  -8.2631015852e-01  -8.2906597661e-01   1.0228780224e+01  -1.0255372280e+00  -1.0255372280e+00
  -8.2079852232e-01  -8.2355434042e-01   1.0224724565e+01  -1.0824684791e+00  -1.0824684791e+00
  -8.1528688612e-01  -8.1804270422e-01   1.0335064308e+01  -1.0906028208e+00  -1.0906028208e+00
  -8.0977524993e-01  -8.1253106803e-01   1.0562159918e+01  -1.0492501542e+00  -1.0492501542e+00
  -8.0462426995e-01  -8.0701943183e-01   1.0824916515e+01  -9.7948678265e-01  -9.7948678265e-01
  -7.9983394620e-01  -8.0222910807e-01   1.1118957550e+01  -8.8922559679e-01  -8.8922559679e-01
  -7.9529684570e-01  -7.9743878432e-01   1.1441266267e+01  -7.8045598453e-01  -7.8045598453e-01
  -7.9101296846e-01  -7.9315490708e-01   1.1749466815e+01  -6.6922045344e-01  -6.6922045344e-01
  -7.8648311347e-01  -7.8887102984e-01   1.2053847068e+01  -5.5308752299e-01  -5.5308752299e-01
  -7.8170728071e-01  -7.8409519709e-01   1.2342385624e+01  -4.3680559020e-01  -4.3680559020e-01
  -7.7771227375e-01  -7.7931936433e-01   1.2587532786e+01  -3.3255257849e-01  -3.3255257849e-01
  -7.7449809258e-01  -7.7610518316e-01   1.2761966650e+01  -2.5515740010e-01  -2.5515740010e-01
  -7.7128391140e-01  -7.7289100199e-01   1.2913673406e+01  -1.8457401524e-01  -1.8457401524e-01
  -7.6806973023e-01  -7.6967682082e-01   1.3042887041e+01  -1.2105954321e-01  -1.2105954321e-01
  -7.6430331756e-01  -7.6646263964e-01   1.3174018407e+01  -5.1820954183e-02  -5.1820954183e-02
  -7.5998467339e-01  -7.6214399548e-01   1.3282873676e+01   1.3809229199e-02   1.3809229199e-02
