# time = 1000
#  1_posUnif        2_uvel_mean        3_uvel_rmsf
-2.77778E-02  1.96857E+01  1.53469E+00
-2.22222E-02  1.96919E+01  1.53376E+00
-1.66667E-02  1.96969E+01  1.53303E+00
-1.11111E-02  1.97006E+01  1.53253E+00
-5.55556E-03  1.97031E+01  1.53225E+00
 0.00000E+00  1.97044E+01  1.53217E+00
 5.55556E-03  1.97045E+01  1.53230E+00
 1.11111E-02  1.97033E+01  1.53260E+00
 1.66667E-02  1.97009E+01  1.53307E+00
 2.22222E-02  1.96973E+01  1.53368E+00
 2.77778E-02  1.96925E+01  1.53445E+00
 3.33333E-02  1.96865E+01  1.53538E+00
 3.88889E-02  1.96793E+01  1.53648E+00
 4.44444E-02  1.96709E+01  1.53775E+00
 5.00000E-02  1.96613E+01  1.53920E+00
 5.55556E-02  1.96505E+01  1.54083E+00
 6.11111E-02  1.96386E+01  1.54265E+00
 6.66667E-02  1.96254E+01  1.54468E+00
 7.22222E-02  1.96111E+01  1.54690E+00
 7.77778E-02  1.95957E+01  1.54930E+00
 8.33333E-02  1.95791E+01  1.55186E+00
 8.88889E-02  1.95614E+01  1.55456E+00
 9.44444E-02  1.95426E+01  1.55738E+00
 1.00000E-01  1.95227E+01  1.56033E+00
 1.05556E-01  1.95018E+01  1.56338E+00
 1.11111E-01  1.94798E+01  1.56653E+00
 1.16667E-01  1.94569E+01  1.56974E+00
 1.22222E-01  1.94331E+01  1.57299E+00
 1.27778E-01  1.94083E+01  1.57631E+00
 1.33333E-01  1.93825E+01  1.57966E+00
 1.38889E-01  1.93559E+01  1.58306E+00
 1.44444E-01  1.93284E+01  1.58650E+00
 1.50000E-01  1.93000E+01  1.58996E+00
 1.55556E-01  1.92709E+01  1.59343E+00
 1.61111E-01  1.92409E+01  1.59694E+00
 1.66667E-01  1.92103E+01  1.60051E+00
 1.72222E-01  1.91789E+01  1.60406E+00
 1.77778E-01  1.91469E+01  1.60761E+00
 1.83333E-01  1.91142E+01  1.61116E+00
 1.88889E-01  1.90809E+01  1.61469E+00
 1.94444E-01  1.90470E+01  1.61817E+00
 2.00000E-01  1.90126E+01  1.62158E+00
 2.05556E-01  1.89776E+01  1.62495E+00
 2.11111E-01  1.89422E+01  1.62829E+00
 2.16667E-01  1.89062E+01  1.63161E+00
