# time = 1000.0
# FINE UNIFORM Grid points = 791
# Pressure (Pa) = 101325
#         1_posUnif        2_uvel_mean        3_uvel_rmsf
 -3.1139240506E-01   2.0319784237E+01   1.9285068839E+00
 -3.0886075949E-01   2.0336074307E+01   1.9269324275E+00
 -3.0632911392E-01   2.0352298583E+01   1.9253712511E+00
 -3.0379746835E-01   2.0368475469E+01   1.9238186261E+00
 -3.0126582278E-01   2.0384585927E+01   1.9222696888E+00
 -2.9873417722E-01   2.0400617162E+01   1.9207410980E+00
 -2.9620253165E-01   2.0416574135E+01   1.9192352769E+00
 -2.9367088608E-01   2.0432467424E+01   1.9177431138E+00
 -2.9113924051E-01   2.0448279552E+01   1.9162858187E+00
 -2.8860759494E-01   2.0464002769E+01   1.9148742909E+00
 -2.8607594937E-01   2.0479646348E+01   1.9135038240E+00
 -2.8354430380E-01   2.0495228593E+01   1.9121554953E+00
 -2.8101265823E-01   2.0510750293E+01   1.9107913273E+00
 -2.7848101266E-01   2.0526216270E+01   1.9094108366E+00
 -2.7594936709E-01   2.0541624414E+01   1.9080311780E+00
 -2.7341772152E-01   2.0556988674E+01   1.9066551189E+00
 -2.7088607595E-01   2.0572307274E+01   1.9052692256E+00
 -2.6835443038E-01   2.0587582902E+01   1.9038609079E+00
 -2.6582278481E-01   2.0602812009E+01   1.9024331911E+00
 -2.6329113924E-01   2.0617987698E+01   1.9010020786E+00
 -2.6075949367E-01   2.0633120512E+01   1.8995609792E+00
 -2.5822784810E-01   2.0648203036E+01   1.8981044402E+00
 -2.5569620253E-01   2.0663232513E+01   1.8966516308E+00
 -2.5316455696E-01   2.0678214849E+01   1.8952051911E+00
 -2.5063291139E-01   2.0693160631E+01   1.8937679738E+00
 -2.4810126582E-01   2.0708064071E+01   1.8923524460E+00
 -2.4556962025E-01   2.0722921552E+01   1.8909612473E+00
 -2.4303797468E-01   2.0737737288E+01   1.8895826857E+00
 -2.4050632911E-01   2.0752506361E+01   1.8882234962E+00
 -2.3797468354E-01   2.0767229243E+01   1.8868920844E+00
 -2.3544303797E-01   2.0781908429E+01   1.8855776190E+00
 -2.3291139241E-01   2.0796545247E+01   1.8842815717E+00
 -2.3037974684E-01   2.0811130833E+01   1.8829959570E+00
 -2.2784810127E-01   2.0825681517E+01   1.8817036417E+00
 -2.2531645570E-01   2.0840209471E+01   1.8804053676E+00
 -2.2278481013E-01   2.0854698220E+01   1.8791240258E+00
 -2.2025316456E-01   2.0869147777E+01   1.8778424197E+00
 -2.1772151899E-01   2.0883559661E+01   1.8765645364E+00
 -2.1518987342E-01   2.0897929755E+01   1.8753033732E+00
 -2.1265822785E-01   2.0912250915E+01   1.8740686036E+00
 -2.1012658228E-01   2.0926522639E+01   1.8728472125E+00
