# time = 200
# Grid points = 114
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
   4.6573238378e-02   3.1253014210e-02   1.9075652388e+01  -1.2140077813e-01  -1.2140077813e-01
   7.4615926146e-02   6.1893462545e-02   1.8908061130e+01  -8.4935770234e-02  -8.4935770234e-02
   1.0006085335e-01   8.7338389746e-02   1.8719327244e+01  -4.7234678366e-02  -4.7234678366e-02
   1.2359849731e-01   1.1278331695e-01   1.8476630116e+01  -8.6078333448e-04  -8.6078333448e-04
   1.4522885805e-01   1.3441367768e-01   1.8237473337e+01   4.3144775536e-02   4.3144775536e-02
   1.6716528237e-01   1.5604403841e-01   1.7987935234e+01   8.6283418047e-02   8.6283418047e-02
   1.8940777030e-01   1.7828652634e-01   1.7742829528e+01   1.2341393461e-01   1.2341393461e-01
   2.1423106294e-01   2.0052901426e-01   1.7539036926e+01   1.4585831393e-01   1.4585831393e-01
   2.4163516028e-01   2.2793311161e-01   1.7358882347e+01   1.5056801624e-01   1.5056801624e-01
   2.7139493332e-01   2.5533720896e-01   1.7247397112e+01   1.3284290326e-01   1.3284290326e-01
   3.0351038203e-01   2.8745265767e-01   1.7183822567e+01   8.7439426134e-02   8.7439426134e-02
   3.3604305382e-01   3.1956810639e-01   1.7169502904e+01   2.0730538044e-02   2.0730538044e-02
   3.6899294869e-01   3.5251800126e-01   1.7186863635e+01  -6.3875278643e-02  -6.3875278643e-02
   4.0193521456e-01   3.8546789613e-01   1.7212521702e+01  -1.5403431549e-01  -1.5403431549e-01
   4.3486985141e-01   4.1840253298e-01   1.7219688074e+01  -2.3657372568e-01  -2.3657372568e-01
   4.6688258206e-01   4.5133716984e-01   1.7185317251e+01  -3.0195749875e-01  -3.0195749875e-01
   4.9797340649e-01   4.8242799427e-01   1.7097426544e+01  -3.4409801712e-01  -3.4409801712e-01
   5.2577846431e-01   5.1351881870e-01   1.6937783542e+01  -3.6630509915e-01  -3.6630509915e-01
